,country,province,confirmed,recovered,deaths,active,latitude,longitude,date
0,Afghanistan,Afghanistan,1,0,0,1,33.93911,67.709953,2020-03-02
1,Algeria,Algeria,3,0,0,3,28.033886,1.659626,2020-03-02
2,Andorra,Andorra,1,0,0,1,42.546245,1.601554,2020-03-02
3,Armenia,Armenia,1,0,0,1,40.069099,45.038189,2020-03-02
4,Australia,From Diamond Princess,0,0,0,0,-25.274398,133.775136,2020-03-02
5,Australia,New South Wales,6,4,0,2,-25.274398,133.775136,2020-03-02
6,Australia,Queensland,9,1,0,8,-25.274398,133.775136,2020-03-02
7,Australia,South Australia,3,2,0,1,-25.274398,133.775136,2020-03-02
8,Australia,Tasmania,1,0,0,1,-25.274398,133.775136,2020-03-02
9,Australia,Victoria,9,4,0,5,-25.274398,133.775136,2020-03-02
10,Australia,Western Australia,2,0,1,1,-25.274398,133.775136,2020-03-02
11,Austria,Austria,18,0,0,18,47.516231,14.550072,2020-03-02
12,Azerbaijan,Azerbaijan,3,0,0,3,40.143105,47.576927,2020-03-02
13,Bahrain,Bahrain,49,0,0,49,25.930414,50.637772,2020-03-02
14,Belarus,Belarus,1,0,0,1,53.709807,27.953389,2020-03-02
15,Belgium,Belgium,8,1,0,7,50.503887,4.469936,2020-03-02
16,Brazil,Brazil,2,0,0,2,-14.235004,-51.92528,2020-03-02
17,Cambodia,Cambodia,1,1,0,0,12.565679,104.990963,2020-03-02
18,Canada,Canada,1,0,0,1,56.130366,-106.346771,2020-03-02
19,Canada,British Columbia,8,3,0,5,56.130366,-106.346771,2020-03-02
20,Canada,"London, ON",1,1,0,0,56.130366,-106.346771,2020-03-02
21,Canada,"Toronto, ON",17,2,0,15,56.130366,-106.346771,2020-03-02
22,China,Anhui,990,917,6,67,35.86166,104.195397,2020-03-02
23,China,Beijing,414,282,8,124,35.86166,104.195397,2020-03-02
24,China,Chongqing,576,469,6,101,35.86166,104.195397,2020-03-02
25,China,Fujian,296,255,1,40,35.86166,104.195397,2020-03-02
26,China,Gansu,91,85,2,4,35.86166,104.195397,2020-03-02
27,China,Guangdong,1350,1059,7,284,35.86166,104.195397,2020-03-02
28,China,Guangxi,252,192,2,58,35.86166,104.195397,2020-03-02
29,China,Guizhou,146,114,2,30,35.86166,104.195397,2020-03-02
30,China,Hainan,168,151,5,12,35.86166,104.195397,2020-03-02
31,China,Hebei,318,296,6,16,35.86166,104.195397,2020-03-02
32,China,Heilongjiang,480,356,13,111,35.86166,104.195397,2020-03-02
33,China,Henan,1272,1205,22,45,35.86166,104.195397,2020-03-02
34,China,Hubei,67103,33934,2803,30366,35.86166,104.195397,2020-03-02
35,China,Hunan,1018,887,4,127,35.86166,104.195397,2020-03-02
36,China,Inner Mongolia,75,54,0,21,35.86166,104.195397,2020-03-02
37,China,Jiangsu,631,543,0,88,35.86166,104.195397,2020-03-02
38,China,Jiangxi,935,850,1,84,35.86166,104.195397,2020-03-02
39,China,Jilin,93,83,1,9,35.86166,104.195397,2020-03-02
40,China,Liaoning,122,103,1,18,35.86166,104.195397,2020-03-02
41,China,Macau,10,8,0,2,35.86166,104.195397,2020-03-02
42,China,Ningxia,74,69,0,5,35.86166,104.195397,2020-03-02
43,China,Qinghai,18,18,0,0,35.86166,104.195397,2020-03-02
44,China,Shaanxi,245,216,1,28,35.86166,104.195397,2020-03-02
45,China,Shandong,758,460,6,292,35.86166,104.195397,2020-03-02
46,China,Shanghai,337,292,3,42,35.86166,104.195397,2020-03-02
47,China,Shanxi,133,119,0,14,35.86166,104.195397,2020-03-02
48,China,Sichuan,538,386,3,149,35.86166,104.195397,2020-03-02
49,China,Tianjin,136,111,3,22,35.86166,104.195397,2020-03-02
50,China,Tibet,1,1,0,0,35.86166,104.195397,2020-03-02
51,China,Xinjiang,76,66,3,7,35.86166,104.195397,2020-03-02
52,China,Yunnan,174,168,2,4,35.86166,104.195397,2020-03-02
53,China,Zhejiang,1206,1069,1,136,35.86166,104.195397,2020-03-02
54,Croatia,Croatia,7,0,0,7,45.1,15.2,2020-03-02
55,Czech Republic,Czech Republic,3,0,0,3,49.817492,15.472962,2020-03-02
56,Denmark,Denmark,4,0,0,4,56.26392,9.501785,2020-03-02
57,Dominican Republic,Dominican Republic,1,0,0,1,18.735693,-70.162651,2020-03-02
58,Ecuador,Ecuador,6,0,0,6,-1.831239,-78.183406,2020-03-02
59,Egypt,Egypt,2,1,0,1,26.820553,30.802498,2020-03-02
60,Estonia,Estonia,1,0,0,1,58.595272,25.013607,2020-03-02
61,Finland,Finland,6,1,0,5,61.92411,25.748151,2020-03-02
62,France,France,191,12,3,176,46.227638,2.213749,2020-03-02
63,Georgia,Georgia,3,0,0,3,42.315407,43.356892,2020-03-02
64,Germany,Germany,159,16,0,143,51.165691,10.451526,2020-03-02
65,Greece,Greece,7,0,0,7,39.074208,21.824312,2020-03-02
66,Hong Kong,Hong Kong,100,36,2,62,22.396428,114.109497,2020-03-02
67,Iceland,Iceland,6,0,0,6,64.963051,-19.020835,2020-03-02
68,India,India,5,3,0,2,20.593684,78.96288,2020-03-02
69,Indonesia,Indonesia,2,0,0,2,-0.789275,113.921327,2020-03-02
